vertices,nanoseconds_sorted,nanoseconds_random,nanoseconds_inverted
17,43399,47686,39590
17,38132,39251,39219
17,36998,40345,39092
17,39291,38933,40514
17,39504,40703,42399
17,39321,39078,40448
17,39696,41382,42769
17,39227,38695,38859
17,38759,42059,38848
17,37853,39993,41552
17,50131,47440,48397
17,43563,45853,42600
17,47240,41382,44254
17,39069,41370,44031
17,39555,46026,43686
17,40483,41278,43578
17,40170,41908,41140
17,40183,41694,41442
17,40461,41641,40735
17,39570,40429,43495
17,40389,41726,43258
17,39242,42238,42304
17,40448,41095,43250
17,40070,43891,41734
17,40110,42909,42309
17,38949,40494,42778
17,39813,40687,42349
17,40631,45639,45202
17,39235,45216,91551
17,40154,42758,41086
17,38904,42770,41898
17,40322,40058,40611
17,38577,41912,38910
17,37741,40263,40458
17,48456,53490,48669
17,40909,46933,45672
17,41014,44474,419372
17,49016,57625,47813
17,40427,41586,66142
17,39448,82098,43198
17,64155,49698,43459
17,39445,40444,42056
17,38809,41113,47236
17,47389,43114,47741
17,42666,42483,45590
17,47101,43310,43057
17,39477,42314,38618
17,38601,40513,47048
17,37599,40586,41847
17,37645,46239,44414
17,41696,42605,43414
17,37762,42683,42258
17,48440,49197,73477
17,50474,217121,49115
17,44170,46602,45282
17,56075,44411,57851
17,62504,63969,66396
17,51034,69450,56772
19,60315,64887,61476
19,58029,149832,65900
19,62213,62911,59718
19,54597,54370,52344
19,48315,58367,49844
19,47310,50629,52147
19,57205,236897,87471
19,54150,55246,70639
19,49732,51712,57134
19,172340,87118,54453
19,49237,84195,269064
19,58770,61717,65852
19,55992,52998,52150
19,49382,53442,53426
19,50118,52933,52295
19,48468,54609,55560
19,47632,54224,52129
19,49886,50421,54207
19,49548,53036,52707
19,49228,52811,54435
19,46311,51275,55818
19,48704,53338,51808
19,49725,51160,52743
19,48866,51257,50839
19,47823,52653,54016
19,76360,51758,55786
19,51020,54749,80820
19,50453,54872,58594
19,47552,49238,52305
19,48543,51433,53665
19,50834,57949,54863
19,53472,108574,49509
19,47876,51940,54933
19,45159,52324,51081
19,46002,55895,52890
19,44583,47685,49660
19,47091,48663,49052
19,163282,49275,54075
19,63729,67990,51596
19,49816,54673,50939
19,48021,51232,52798
19,49512,49885,51918
19,55574,95755,56911
19,49569,56599,52263
19,48335,49722,50812
19,48334,52085,52598
19,47740,49678,49623
19,47765,50728,51495
19,47639,49164,51230
19,48004,48545,50716
19,48390,50258,49966
19,48120,50657,53290
19,47581,50523,52614
19,47825,50288,49378
19,54077,50060,50798
19,50653,111638,53197
19,48325,51814,50528
19,48018,48754,106616
19,67048,51208,57599
19,51264,69370,77253
19,56821,72386,58842
19,49661,49604,54523
19,46328,60623,51293
19,54036,49723,56136
19,47912,52124,55147
19,46591,49588,53718
19,48496,56117,57491
19,68775,213318,71109
19,64176,68108,67220
19,61988,59093,83952
19,49378,179644,52657
19,49198,52407,48645
19,49909,51630,52869
19,47368,54345,49524
19,45907,50393,49977
19,373260,54852,135660
19,56562,51884,52651
19,49117,50588,51142
19,49308,53136,49571
19,371635,60881,52484
19,50492,53475,50996
19,48604,53651,50719
19,49364,52069,51940
19,49859,52356,52126
19,48936,53069,53384
19,1.31568e+06,48492,58002
19,51367,54236,55231
19,50689,612113,53980
19,289106,68699,59156
19,54061,50230,52305
19,47001,51294,55737
19,51295,53764,53838
19,46345,50905,53239
19,47730,51801,91648
19,48325,51154,52578
19,48791,52538,49888
19,48212,50352,52001
19,48658,52722,52813
19,49855,51468,52477
19,74331,53161,62084
21,67981,123344,147398
21,100536,3.61784e+06,108901
21,77869,78293,85949
21,74175,80641,72504
21,58117,69513,60810
21,55010,64974,64890
21,60654,66352,65734
21,60488,66971,64816
21,59362,65286,63919
21,59877,61551,66723
21,60971,61850,67583
21,60742,65238,64176
21,55272,65013,61105
21,61119,59467,64333
21,59761,65533,66176
21,58868,67200,62681
21,55707,59165,59855
21,56508,60147,60883
21,59590,60070,63166
21,59535,60614,63957
21,57241,59707,64270
21,71776,64437,248940
21,57345,68847,65184
21,55831,61643,60497
21,58271,62575,60703
21,55200,58728,60956
21,55432,61356,62724
21,60229,62924,68642
21,60338,68984,90787
21,75042,66286,68846
21,81749,60665,63659
21,55189,61603,59907
21,56057,64525,59605
21,55671,58671,63533
21,57863,61554,61242
21,55057,60260,61880
21,56794,70294,65232
21,104032,66755,66480
21,59725,60867,61332
21,55876,57779,62066
21,60203,61168,64506
21,57417,72103,58766
21,65437,74818,63720
21,55094,66251,64288
21,59464,141502,62261
21,53541,65274,58688
21,63341,65128,62434
21,61748,64769,59542
21,63713,62398,62053
21,64196,63361,63809
21,58100,62118,61433
21,55361,62554,61779
21,58495,60681,61231
21,72162,62523,66522
21,57716,65241,61898
21,57263,57697,61663
21,56080,63317,61720
21,58287,61194,61880
21,54809,59244,62401
21,57328,62217,64468
21,56128,62017,62676
21,53058,63697,60525
21,55742,63746,57025
21,52479,58923,59931
21,57750,64143,61091
21,57476,68998,63044
21,57975,64150,62406
21,56061,62327,61402
21,57774,60312,61936
21,56855,61074,64547
21,60539,66902,61056
21,58692,66317,59060
21,55401,60550,61713
21,57472,63268,61341
21,58209,79034,61949
21,57030,62154,62621
21,57370,63065,62858
21,58913,63388,65025
21,56571,62438,61414
21,57983,63864,63768
21,57584,62974,63257
21,57598,62705,60745
21,57573,64383,61426
21,58849,62357,91099
21,57389,61978,62789
21,58119,63949,64007
21,59164,62905,62464
21,57287,62461,63112
21,58209,63212,66557
21,58996,63100,66752
21,57421,62477,61144
21,69951,117813,60350
21,54771,56510,58856
21,55777,141274,62202
21,57880,62191,59757
21,55421,59008,58470
21,56854,61520,62306
21,57952,58019,65004
21,63159,59458,66277
21,55445,58845,94259
23,71040,457757,75578
23,76463,76712,102552
23,80113,84824,87126
23,82919,85701,94255
23,87279,91721,100084
23,86204,100689,86911
23,94473,148848,103941
23,86524,109389,124539
23,84860,87564,95259
23,78201,90485,84667
23,90126,84460,99231
23,89318,95978,101373
23,74260,104687,76837
23,69965,75852,75895
23,67696,72952,78476
23,70608,78210,77971
23,69436,73893,73276
23,69482,74903,87514
23,82943,89142,73197
23,69783,75387,72207
23,88016,75455,80978
23,778381,74955,77533
23,71225,76067,73097
23,77407,75789,77596
23,117544,74837,76002
23,69256,71966,77425
23,70489,72462,70396
23,73440,71654,74054
23,68436,69807,70177
23,67326,74049,71365
23,71327,70994,75831
23,70431,73384,93373
23,67911,72225,74779
23,71902,74349,75325
23,82443,78086,76102
