vertices,nanoseconds_sorted,nanoseconds_random,nanoseconds_inverted
19,51682,53329,53590
19,50848,55029,52092
19,62556,141600,3.19433e+06
19,51370,54893,56794
19,53721,55718,69672
19,53635,57261,57730
19,55069,55563,57641
19,52306,67734,53636
19,52982,54273,51787
19,51768,52526,52013
19,52990,54201,54918
19,51245,55357,56282
19,51563,52068,54761
19,68249,50401,225616
19,52130,51418,62949
19,57119,53238,51969
19,49859,59885,53760
19,50744,52613,51152
19,49548,54744,54452
19,47630,54768,90675
19,47514,50669,51037
19,48111,50918,50248
19,67326,53318,51672
19,52786,630245,56784
19,51204,54520,54888
19,1.59595e+06,56458,56780
19,72918,87540,4.15674e+06
19,67681,67708,68120
19,59332,72102,66505
19,52486,56882,52521
19,49301,55518,50693
19,59841,51338,51073
19,51325,57422,53268
19,79764,53250,3.40566e+06
19,67955,82273,71356
19,77771,64320,73054
19,76175,82550,86258
19,156346,70349,73980
19,79186,61877,122008
19,91439,103328,90074
19,82030,101283,321402
19,50693,66892,59001
19,50218,53668,55977
19,50895,54421,53028
19,48113,54431,53360
19,51466,347296,54974
19,47527,53349,53042
19,50393,52741,48193
19,51076,52218,54842
19,51902,55217,54804
19,62695,338268,59879
19,64471,56039,51988
19,46759,63607,57031
19,48001,49707,51311
19,53240,50987,51690
19,58365,61929,70419
19,59690,112936,68321
19,52912,57252,58835
19,82755,140016,74406
19,75043,88348,71790
19,58606,73620,57469
19,58679,62547,55122
19,49520,58409,53088
19,60142,57869,72808
19,50121,119193,77180
19,49764,54315,51796
19,50604,53326,53377
19,53061,54149,53720
19,70818,55104,58210
19,65413,64423,52972
19,241830,71503,58808
19,47775,58215,53656
19,184513,53038,52550
19,51202,59188,59916
19,50641,54640,53605
19,57196,53748,54570
19,48486,52245,54075
19,46685,50081,52939
19,44092,55046,48115
19,43253,46171,45487
19,52772,79887,144365
19,52485,143708,53082
19,50964,55558,53399
21,41416,82383,188883
21,39513,48888,47561
21,38015,47055,44397
21,41795,46431,43345
21,55591,44033,62849
21,37626,62462,58240
21,59229,61950,59469
21,54961,61174,58333
21,55368,64027,59268
21,54954,59771,59768
21,55337,58863,59178
21,68252,64821,64492
21,57538,63010,63411
21,67341,71157,70784
21,56962,62742,69338
21,334669,66709,61667
21,85814,62889,57078
21,40475,46110,46527
21,187418,45318,43304
21,58749,55447,46318
21,57585,43850,67231
21,65475,70274,65053
21,57964,63596,63823
21,74279,63425,64500
21,60120,65601,66680
21,58403,62775,59571
21,57247,61664,60599
21,56897,60818,60634
21,60180,62420,61736
21,58660,65140,60435
21,73365,61520,64151
21,39085,48945,44972
21,37465,48353,43182
21,55493,46225,43814
21,55413,62536,59041
21,56074,60851,60974
21,57084,59053,59834
21,55430,62445,61416
21,55663,59446,62849
21,56109,58283,67533
21,56649,58840,60763
21,37331,42948,45119
21,37393,43278,45603
21,37077,46187,43099
21,37463,45284,43897
21,40484,45766,44079
21,59020,44174,172074
21,57430,61792,64605
21,56450,66458,61856
21,141005,60405,61866
21,110884,63205,60257
21,56174,64149,61022
21,59245,61597,97459
21,54858,62825,61833
21,54085,61313,62483
21,58642,59603,64015
21,54562,60134,61568
21,56891,59082,59862
21,55885,67297,64965
21,55429,61792,61525
21,55689,65000,63515
21,58539,80584,61110
21,55411,61616,59416
21,57654,59216,59946
21,93862,60884,61811
21,63783,284999,67223
21,614163,344283,174716
21,58548,63136,63667
21,58297,58625,63409
21,56820,60307,61604
21,56281,65315,68204
21,56449,59526,61175
21,54671,59641,61602
21,55893,61827,59261
21,58801,62152,61798
21,57817,65600,67491
21,62654,62268,62466
21,58811,60685,62321
21,59964,63900,64465
21,60689,65597,66365
21,56607,64814,72054
21,61154,62678,65403
21,56106,69762,62324
21,60857,60788,1.76174e+06
21,57488,63647,62903
21,58750,62888,63839
21,59250,63700,62802
21,57220,62842,60485
21,58359,62927,63625
21,58264,63998,64766
21,58517,64331,66427
21,61771,257382,61147
21,61415,63120,64142
21,60642,66034,67504
21,60336,65526,62382
21,60333,65793,65630
21,56318,65119,60866
21,56018,58722,63538
21,57600,60674,62079
21,56585,61506,63160
23,68376,74174,72395
23,78984,72521,74693
23,67832,72763,74028
23,67413,72494,81411
23,69494,78067,76963
23,78079,74704,75921
23,73522,75882,73215
23,75685,79290,85163
23,82919,76451,72080
23,85522,74257,388212
23,72306,74405,645096
23,468702,81750,73809
23,70395,144840,75104
23,73810,76809,75879
23,75190,75439,76779
23,75928,1.68675e+06,80129
23,71021,76901,80256
23,69910,76753,73528
23,78292,74883,75919
23,71111,75482,75088
23,90906,194646,198545
23,102148,113742,119041
23,94981,93274,95864
23,97792,93383,97953
23,76134,91305,85223
23,86017,90340,104665
23,68431,79858,77327
23,68171,71714,71916
23,102522,73394,76579
23,93166,82807,108513
23,66631,92925,91253
23,132071,72622,73032
23,69157,93500,96575
23,96358,72965,72671
23,125667,78414,177061
23,126249,78023,403318
23,91625,123369,103343
23,94553,99122,90850
23,79225,87292,81540
23,122976,83178,92811
23,46764,74424,69714
23,45343,63502,74440
23,69420,75994,79943
23,72567,77239,76521
23,71522,79560,77204
23,72530,74015,77120
23,70512,76363,84714
23,72098,77604,76862
23,72023,77880,73319
23,72148,77689,77359
23,69852,75613,75038
23,818166,80225,76750
23,75117,91380,81407
23,89502,77128,80643
23,136205,79293,183783
23,104317,101002,98885
23,147150,333958,81514
23,69680,85859,84464
23,105109,71410,77207
23,71953,79492,79069
23,72709,76278,80759
23,72920,76402,75803
23,72412,75207,75320
23,72581,76556,77135
23,67817,77830,77778
23,73495,76112,70107
23,71389,77615,76886
23,148618,74069,76966
23,73143,79463,80887
23,68588,74986,72279
23,69367,74892,73262
23,82872,81345,261795
23,67533,83320,84067
23,105226,75766,84850
23,76624,81551,77308
23,76434,76590,79253
23,72333,82395,85341
