clients,factories,routes,nanoseconds
9,8,136,39381
9,8,136,39895
9,8,136,39477
9,8,136,39595
9,8,136,38912
9,8,136,41309
9,8,136,39142
9,8,136,38719
9,8,136,38676
9,8,136,52818
9,8,136,41210
9,8,136,39729
9,8,136,39157
9,8,136,39112
9,8,136,38981
9,8,136,41698
9,8,136,39122
9,8,136,38870
9,8,136,40492
9,8,136,38483
9,8,136,38818
9,8,136,39563
10,9,171,56117
10,9,171,49358
10,9,171,50079
10,9,171,49382
10,9,171,48195
10,9,171,51727
10,9,171,62476
10,9,171,49600
10,9,171,48715
10,9,171,49234
10,9,171,47268
10,9,171,50477
10,9,171,49534
10,9,171,48136
10,9,171,47855
10,9,171,48987
10,9,171,47715
10,9,171,47527
10,9,171,47821
10,9,171,48256
10,9,171,46846
10,9,171,47688
10,9,171,47706
10,9,171,49433
10,9,171,47942
10,9,171,48809
10,9,171,47612
10,9,171,47231
10,9,171,46848
10,9,171,48782
10,9,171,46344
10,9,171,38978
10,9,171,37331
10,9,171,36245
10,9,171,37122
10,9,171,37260
10,9,171,35841
10,9,171,35973
10,9,171,36240
10,9,171,35756
10,9,171,36337
10,9,171,37188
10,9,171,34812
10,9,171,36637
10,9,171,44347
10,9,171,48413
10,9,171,38534
10,9,171,49661
10,9,171,37874
10,9,171,36559
10,9,171,36385
10,9,171,35329
10,9,171,37045
10,9,171,35955
10,9,171,36539
10,9,171,36830
10,9,171,36530
10,9,171,35515
10,9,171,36119
10,9,171,36429
10,9,171,37015
10,9,171,36523
10,9,171,36352
10,9,171,35715
10,9,171,35713
10,9,171,36899
10,9,171,36569
10,9,171,37377
10,9,171,36181
10,9,171,37800
10,9,171,36917
10,9,171,36827
10,9,171,36193
10,9,171,36690
10,9,171,36368
10,9,171,35349
10,9,171,35777
10,9,171,37040
10,9,171,36723
10,9,171,47891
10,9,171,50866
10,9,171,51213
10,9,171,50855
10,9,171,51470
10,9,171,50445
10,9,171,52423
10,9,171,54833
10,9,171,52979
10,9,171,53028
10,9,171,53576
10,9,171,53491
10,9,171,53359
10,9,171,51366
10,9,171,51569
10,9,171,50535
10,9,171,51380
10,9,171,51638
10,9,171,50787
10,9,171,52041
10,9,171,60392
11,10,210,59707
11,10,210,62546
11,10,210,62815
11,10,210,64444
11,10,210,60882
11,10,210,60678
11,10,210,65121
11,10,210,68047
11,10,210,67760
11,10,210,78626
11,10,210,63330
11,10,210,65426
11,10,210,65681
11,10,210,65306
11,10,210,58202
11,10,210,56966
11,10,210,57812
11,10,210,58646
11,10,210,57552
11,10,210,58709
11,10,210,57156
11,10,210,59084
11,10,210,59254
11,10,210,59542
11,10,210,59158
11,10,210,58860
11,10,210,57278
11,10,210,70557
11,10,210,73745
11,10,210,76371
11,10,210,67382
11,10,210,66999
11,10,210,62587
11,10,210,64211
11,10,210,47052
