clients,factories,routes,nanoseconds
51,49,110,71941
51,49,110,77307
51,49,110,76035
51,49,110,76908
51,49,110,75639
51,49,110,72100
51,49,110,74100
51,49,110,70778
51,49,110,71627
51,49,110,69443
51,49,110,149089
51,49,110,95690
51,49,110,77313
51,49,110,108952
51,49,110,70735
51,49,110,70537
51,49,111,71483
51,49,111,74476
51,49,111,71814
51,49,111,73857
51,49,111,68732
51,49,111,298199
51,49,111,192085
51,49,111,74877
51,49,111,72342
51,49,111,77141
51,49,111,72303
51,49,111,69802
51,49,111,75401
51,49,111,74052
51,49,111,70841
51,49,111,69848
51,49,111,72144
51,49,111,75155
51,49,111,80188
51,49,111,72490
51,49,111,74693
51,49,111,68884
51,49,111,71816
51,49,111,64270
51,49,111,72377
51,49,111,50779
51,49,111,74499
51,49,111,65929
51,49,111,74393
51,49,111,104757
51,49,111,124586
51,49,111,74922
51,49,111,113811
51,49,111,93269
51,49,111,92243
51,49,111,95091
51,49,111,93764
51,49,111,79555
51,49,111,84872
51,49,111,100996
51,49,111,75145
51,49,111,68412
51,49,111,73407
51,49,111,77122
51,49,111,72438
51,49,111,74194
51,49,111,73765
51,49,111,77471
51,49,111,71150
51,49,111,71673
51,49,112,104121
51,49,112,87796
51,49,112,76594
51,49,112,88669
51,49,112,78627
51,49,112,82391
51,49,112,74998
51,49,112,69966
51,49,112,75175
51,49,112,51717
51,49,112,51197
51,49,112,70545
51,49,112,54287
51,49,112,84698
51,49,112,77529
51,49,112,61407
51,49,112,68717
51,49,112,50408
51,49,112,50040
51,49,112,52849
51,49,112,50929
51,49,112,70464
51,49,112,70710
51,49,112,72888
51,49,112,71495
51,49,112,75006
51,49,112,113707
51,49,112,71128
51,49,112,69370
51,49,112,74277
51,49,112,55205
51,49,112,83557
51,49,112,76347
51,49,112,71573
51,49,112,50545
51,49,112,72092
51,49,112,73038
51,49,112,74648
51,49,112,78491
51,49,112,69170
51,49,112,73941
51,49,112,76969
51,49,112,88140
51,49,112,74674
51,49,112,71015
51,49,112,71289
51,49,112,69912
51,49,112,70969
51,49,112,76991
51,49,112,74866
51,49,113,83443
51,49,113,73608
51,49,113,77003
51,49,113,64848
51,49,113,75906
51,49,113,71710
51,49,113,77648
51,49,113,72018
51,49,113,75873
51,49,113,70114
51,49,113,74174
51,49,113,73845
51,49,113,71015
51,49,113,73892
51,49,113,74539
51,49,113,72262
51,49,113,72096
51,49,113,72414
51,49,113,73821
51,49,113,71252
51,49,113,74279
51,49,113,51270
51,49,113,56784
51,49,113,66896
51,49,113,64840
51,49,113,53340
51,49,113,48162
51,49,113,49758
51,49,113,71781
51,49,113,79834
51,49,113,81012
51,49,113,74135
51,49,113,71989
