factories,nanoseconds
107,1.59802e+08
107,1.56063e+08
107,1.67417e+08
107,1.56784e+08
107,1.56064e+08
107,1.5874e+08
107,1.55456e+08
107,1.60088e+08
107,1.61975e+08
107,1.56166e+08
107,1.63581e+08
107,1.55998e+08
107,1.59886e+08
107,1.57317e+08
107,1.56921e+08
107,1.58503e+08
107,1.57968e+08
107,1.57996e+08
107,1.60327e+08
107,1.56823e+08
107,1.59598e+08
107,1.59129e+08
107,1.55125e+08
107,1.63361e+08
107,1.56569e+08
107,1.62767e+08
107,1.56942e+08
108,1.56654e+08
108,1.62403e+08
108,1.62115e+08
108,1.61368e+08
108,1.57341e+08
108,1.55353e+08
108,1.63043e+08
108,1.58676e+08
108,1.57212e+08
108,1.61432e+08
108,1.56348e+08
108,1.6193e+08
108,1.56599e+08
108,1.56639e+08
108,1.59859e+08
108,1.60498e+08
108,1.68773e+08
108,1.62809e+08
108,1.56619e+08
108,1.60516e+08
108,1.56016e+08
108,1.64334e+08
108,1.59075e+08
108,1.56112e+08
108,1.62123e+08
108,1.56558e+08
108,1.57786e+08
108,1.57328e+08
108,1.57193e+08
108,1.57188e+08
108,1.57035e+08
108,1.57564e+08
108,1.59491e+08
108,1.58923e+08
108,1.57673e+08
108,1.56151e+08
108,1.59621e+08
108,1.60977e+08
108,1.58576e+08
108,1.61294e+08
108,1.59206e+08
108,1.56309e+08
108,1.60266e+08
108,1.56545e+08
108,1.6245e+08
108,1.55659e+08
108,1.56437e+08
108,1.63296e+08
108,1.56597e+08
108,1.61482e+08
109,1.58696e+08
109,1.57148e+08
109,1.62484e+08
109,1.56082e+08
109,1.60923e+08
109,1.56016e+08
109,1.55491e+08
109,1.61107e+08
109,1.56035e+08
109,1.56808e+08
109,1.61214e+08
109,1.56273e+08
109,1.59935e+08
109,1.59674e+08
109,1.558e+08
109,1.60564e+08
109,1.56342e+08
109,1.59237e+08
109,1.59576e+08
109,1.5917e+08
109,1.58003e+08
109,1.60922e+08
109,1.66847e+08
109,1.64772e+08
109,1.56012e+08
109,1.60567e+08
109,1.57143e+08
109,1.5811e+08
109,1.61358e+08
109,1.56849e+08
109,1.62467e+08
109,1.56575e+08
109,1.58794e+08
109,1.63303e+08
109,1.57223e+08
109,1.60858e+08
109,1.59975e+08
109,1.56643e+08
109,1.57634e+08
109,1.56143e+08
109,1.59696e+08
109,1.56055e+08
109,1.59153e+08
109,1.62024e+08
109,1.56552e+08
109,1.62256e+08
109,1.59574e+08
109,1.59721e+08
109,1.63285e+08
109,1.56298e+08
110,1.57699e+08
110,1.66287e+08
110,1.59578e+08
110,1.60085e+08
110,1.55915e+08
110,1.57884e+08
110,1.60169e+08
110,1.55338e+08
110,1.63624e+08
110,1.55636e+08
110,1.58229e+08
110,1.58384e+08
110,1.56335e+08
110,1.61509e+08
110,1.59127e+08
110,1.55541e+08
110,1.66065e+08
110,1.56357e+08
110,1.57783e+08
110,1.63008e+08
110,1.63728e+08
110,1.57704e+08
110,1.5653e+08
110,1.55974e+08
110,1.61106e+08
110,1.56584e+08
110,1.57185e+08
110,1.57146e+08
110,1.59755e+08
110,1.59932e+08
110,1.62801e+08
110,1.58693e+08
110,1.59623e+08
110,1.5602e+08
110,1.6367e+08
110,1.5964e+08
110,1.60987e+08
110,1.62824e+08
110,1.58993e+08
110,1.60848e+08
110,1.59658e+08
110,1.57208e+08
110,1.6094e+08
110,1.56094e+08
110,1.66921e+08
110,1.62083e+08
110,1.59172e+08
110,1.57195e+08
110,1.57724e+08
110,1.64224e+08
111,1.61299e+08
111,1.68665e+08
111,1.65635e+08
111,1.6027e+08
111,1.63086e+08
111,1.70282e+08
111,1.57037e+08
111,1.63089e+08
111,1.6003e+08
111,1.65306e+08
111,1.58576e+08
111,1.59658e+08
111,1.63616e+08
111,1.5637e+08
111,1.6127e+08
111,1.56771e+08
111,1.56025e+08
111,1.58025e+08
111,1.56453e+08
111,1.64825e+08
111,1.56207e+08
111,1.5721e+08
111,1.58494e+08
111,1.56489e+08
111,1.60434e+08
111,1.59409e+08
111,1.5587e+08
111,1.64692e+08
111,1.55813e+08
111,1.60728e+08
111,1.62012e+08
111,1.6464e+08
111,1.63259e+08
111,1.56766e+08
111,1.5914e+08
111,1.57359e+08
111,1.56611e+08
111,1.59596e+08
111,1.58909e+08
111,1.57498e+08
111,1.59854e+08
111,1.59007e+08
111,1.60355e+08
111,1.56678e+08
111,1.59338e+08
111,1.61413e+08
111,1.5666e+08
111,1.58034e+08
111,1.56396e+08
111,1.56334e+08
112,1.62711e+08
112,1.5676e+08
112,1.62358e+08
112,1.57836e+08
112,1.63379e+08
112,1.69213e+08
112,1.63707e+08
112,1.57233e+08
112,1.56479e+08
112,1.56803e+08
112,1.62067e+08
112,1.55954e+08
112,1.60109e+08
112,1.62042e+08
112,1.58622e+08
112,1.64073e+08
112,1.70314e+08
112,1.61033e+08
112,1.61604e+08
112,1.56256e+08
112,1.6072e+08
112,1.56244e+08
112,1.57848e+08
112,1.63831e+08
112,1.59885e+08
112,1.6523e+08
112,1.55822e+08
112,1.57071e+08
112,1.62243e+08
112,1.56158e+08
112,1.56528e+08
112,1.60251e+08
112,1.57701e+08
112,1.61897e+08
112,1.55609e+08
112,1.58813e+08
112,1.64779e+08
112,1.58911e+08
112,1.67208e+08
112,1.59156e+08
112,1.63345e+08
112,1.64578e+08
112,1.65928e+08
112,1.60336e+08
112,1.56424e+08
112,1.59622e+08
